title,price,area,city,region,postcode,bedrooms,bathrooms,property_type,furnished,bills_included,parking,garden,nearest_station,station_distance_mins,description,image_url,listing_url
Edgbaston 2-Bed House,1050,Edgbaston,Birmingham,West Midlands,B15 3ES,2,1,House,False,False,True,True,Five Ways,10,Traditional two-bedroom house in leafy Edgbaston. Garden and off-street parking.,https://images.unsplash.com/photo-1564013799919-ab600027ffc6?w=600,
Brindleyplace Apartment,1200,Brindleyplace,Birmingham,West Midlands,B1 2JB,2,2,Flat,True,False,True,False,Five Ways,7,Canal-side apartment in the vibrant Brindleyplace development. Two bathrooms and parking.,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=600,
Headingley Terrace,900,Headingley,Leeds,West Yorkshire,LS6 3HN,3,1,House,False,False,False,True,Headingley,8,Classic Headingley terrace near the cricket ground. Three bedrooms with rear garden.,https://images.unsplash.com/photo-1598228723793-52759bba239c?w=600,
Leeds Dock Apartment,1050,Leeds Dock,Leeds,West Yorkshire,LS10 1JE,2,1,Flat,True,True,False,False,Leeds,10,Waterfront apartment at Leeds Dock with gym access. Bills included.,https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=600,
Chapel Allerton House,1200,Chapel Allerton,Leeds,West Yorkshire,LS7 4PE,3,2,House,True,False,True,True,Chapel Allerton,12,Beautifully renovated house in trendy Chapel Allerton. Furnished with modern kitchen.,https://images.unsplash.com/photo-1583608205776-bfd35f0d9f83?w=600,
West End Flat Glasgow,850,West End,Glasgow,Scotland,G12 8QQ,1,1,Flat,True,False,False,False,Hillhead,5,Charming flat in Glasgow's West End near Byres Road. Close to the university.,https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=600,
Merchant City Apartment,1100,Merchant City,Glasgow,Scotland,G1 1DW,2,1,Flat,True,True,False,False,Argyle Street,6,City centre apartment in the stylish Merchant City. Bills included with concierge.,https://images.unsplash.com/photo-1600573472550-8090b5e0745e?w=600,
Southside Glasgow House,950,Southside,Glasgow,Scotland,G42 7RW,3,1,House,False,False,True,True,Queens Park,7,Spacious terraced house on the Southside with garden. Close to Queens Park.,https://images.unsplash.com/photo-1600047509807-ba8f99d2cdde?w=600,
Clifton Village Flat,1300,Clifton,Bristol,South West,BS8 4EF,2,1,Flat,True,False,False,False,Clifton Down,5,Elegant flat in the heart of Clifton Village. Period features with modern updates.,https://images.unsplash.com/photo-1600566753086-00f18fb6b3ea?w=600,
Harbourside Studio Bristol,1000,Harbourside,Bristol,South West,BS1 5SZ,1,1,Flat,True,True,False,False,Bristol Temple Meads,12,Waterfront studio with harbour views. All bills included. Walking distance to centre.,https://images.unsplash.com/photo-1600210492486-724fe5c67fb0?w=600,
Bishopston Family Home,1600,Bishopston,Bristol,South West,BS7 8NT,4,2,House,False,False,True,True,Montpelier,10,Large family home in popular Bishopston. Four bedrooms with period features.,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=600,
Baltic Triangle Flat,800,Baltic Triangle,Liverpool,Merseyside,L1 0AF,1,1,Flat,True,True,False,False,Liverpool Central,10,Trendy flat in Liverpool's creative hub. Fully furnished with bills included.,https://images.unsplash.com/photo-1600607687644-aac4c3eac7f4?w=600,
Albert Dock Apartment,1150,Albert Dock,Liverpool,Merseyside,L3 4AF,2,1,Flat,True,False,False,False,James Street,5,Stunning waterfront apartment at the iconic Albert Dock. City and river views.,https://images.unsplash.com/photo-1600585153490-76fb20a32601?w=600,
Sefton Park House,1350,Sefton Park,Liverpool,Merseyside,L17 1AP,3,2,House,False,False,True,True,Aigburth,8,Victorian house near Sefton Park. Three bedrooms with large garden.,https://images.unsplash.com/photo-1600047509782-20d39509f26d?w=600,
Kelham Island Flat,850,Kelham Island,Sheffield,South Yorkshire,S3 8RY,1,1,Flat,True,True,False,False,Sheffield,12,Industrial-chic flat in vibrant Kelham Island. Walking distance to city centre.,https://images.unsplash.com/photo-1600566752355-35792bedcfea?w=600,
Ecclesall Road House,1100,Ecclesall,Sheffield,South Yorkshire,S11 8PR,3,1,House,False,False,True,True,Sheffield,15,Popular student and professional area. Three-bed house with garden and parking.,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=600,
Sheffield City Apartment,950,City Centre,Sheffield,South Yorkshire,S1 2EL,2,1,Flat,True,False,True,False,Sheffield,5,Modern apartment in the heart of Sheffield. Secure parking and balcony.,https://images.unsplash.com/photo-1600573472550-8090b5e0745e?w=600,
New Town Flat Edinburgh,1400,New Town,Edinburgh,Scotland,EH2 4RG,2,1,Flat,True,False,False,False,Edinburgh Waverley,8,Georgian flat in Edinburgh's prestigious New Town. High ceilings and period details.,https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=600,
Leith Walk Apartment,1050,Leith,Edinburgh,Scotland,EH6 5HB,2,1,Flat,True,True,False,False,Edinburgh Waverley,15,Modern apartment in up-and-coming Leith. Bills included. Near restaurants and bars.,https://images.unsplash.com/photo-1600210492486-724fe5c67fb0?w=600,
Stockbridge House,1800,Stockbridge,Edinburgh,Scotland,EH4 1BZ,3,2,House,False,False,True,True,Haymarket,10,Charming townhouse in village-like Stockbridge. Garden and resident parking.,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=600,
Morningside 1-Bed,950,Morningside,Edinburgh,Scotland,EH10 4QG,1,1,Flat,True,False,False,False,Morningside Road,5,Quiet one-bedroom flat in leafy Morningside. Close to shops and Blackford Hill.,https://images.unsplash.com/photo-1600585153490-76fb20a32601?w=600,
Cardiff Bay Flat,900,Cardiff Bay,Cardiff,Wales,CF10 5AL,2,1,Flat,True,True,True,False,Cardiff Bay,3,Modern waterfront flat in Cardiff Bay. Parking and bills included.,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=600,
Pontcanna House,1100,Pontcanna,Cardiff,Wales,CF11 9JR,3,1,House,False,False,True,True,Cardiff Central,12,Family house in desirable Pontcanna. Garden backing onto Bute Park.,https://images.unsplash.com/photo-1600047509807-ba8f99d2cdde?w=600,
Jesmond Flat Newcastle,850,Jesmond,Newcastle,Tyne and Wear,NE2 1LA,2,1,Flat,True,False,False,False,Jesmond,3,Popular two-bed flat in leafy Jesmond. Walking distance to the Metro.,https://images.unsplash.com/photo-1600566752355-35792bedcfea?w=600,
Quayside Apartment Newcastle,1050,Quayside,Newcastle,Tyne and Wear,NE1 3JE,2,1,Flat,True,True,True,False,Newcastle Central,8,Riverside apartment on the iconic Quayside. Parking and bills included.,https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=600,
Gosforth Family Home,1300,Gosforth,Newcastle,Tyne and Wear,NE3 1HB,4,2,House,False,False,True,True,South Gosforth,5,Spacious family house in popular Gosforth. Large garden and double garage.,https://images.unsplash.com/photo-1583608205776-bfd35f0d9f83?w=600,
Nottingham Lace Market Flat,800,Lace Market,Nottingham,East Midlands,NG1 1PF,1,1,Flat,True,True,False,False,Nottingham,7,Converted lace warehouse apartment in historic Lace Market. Bills included.,https://images.unsplash.com/photo-1536376072261-38c75010e6c9?w=600,
West Bridgford House,1200,West Bridgford,Nottingham,East Midlands,NG2 6GR,3,2,House,False,False,True,True,Nottingham,12,Desirable semi-detached in West Bridgford. Close to Trent Bridge cricket ground.,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=600,
Reading Station Quarter,1150,Station Quarter,Reading,South East,RG1 1LY,2,1,Flat,True,False,True,False,Reading,2,Brand new flat steps from the station. Perfect for London commuters. 25 mins to Paddington.,https://images.unsplash.com/photo-1600573472550-8090b5e0745e?w=600,
Brighton Lanes Studio,1000,The Lanes,Brighton,South East,BN1 1HB,1,1,Flat,True,True,False,False,Brighton,10,Bohemian studio in The Lanes. Bills included. Moments from the beach.,https://images.unsplash.com/photo-1600210492486-724fe5c67fb0?w=600,
Hove 2-Bed Flat,1250,Hove,Brighton,South East,BN3 3JN,2,1,Flat,True,False,False,False,Hove,5,Spacious flat in Hove with sea views. Close to Western Road shops.,https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=600,
Cambridge Mill Road Flat,1350,Mill Road,Cambridge,East of England,CB1 2AS,2,1,Flat,True,False,False,False,Cambridge,10,Vibrant area near the city centre. Two-bed flat above independent shops.,https://images.unsplash.com/photo-1600585153490-76fb20a32601?w=600,
Oxford Jericho House,1800,Jericho,Oxford,South East,OX2 6BT,3,2,House,False,False,True,True,Oxford,12,Period terrace in popular Jericho. Walking distance to the city centre and Port Meadow.,https://images.unsplash.com/photo-1598228723793-52759bba239c?w=600,
Bath Crescent Flat,1400,Royal Crescent,Bath,South West,BA1 2LR,2,1,Flat,True,False,False,False,Bath Spa,8,Elegant apartment near the Royal Crescent. Georgian architecture with modern interior.,https://images.unsplash.com/photo-1600607687644-aac4c3eac7f4?w=600,
